step,lr,train_loss,train_acc,val_acc,val_loss
181,0.0009772967401461925,0.449584,87.8906,88.6300,0.425861
182,0.0009772623927362003,0.386443,88.6719,88.6300,0.425861
183,0.0009772278569121528,0.346676,88.6719,88.6300,0.425861
184,0.0009771931326876845,0.366669,89.0625,88.6300,0.425861
185,0.0009771582200765038,0.429691,89.0625,88.6300,0.425861
186,0.0009771231190923936,0.410423,87.5000,88.6300,0.425861
187,0.0009770878297492111,0.369482,90.2344,88.6300,0.425861
188,0.0009770523520608884,0.341835,89.8438,88.6300,0.425861
189,0.0009770166860414314,0.383393,89.4531,88.6300,0.425861
190,0.0009769808317049201,0.457656,85.5469,88.6300,0.425861
191,0.0009769447890655098,0.300361,91.0156,88.6300,0.425861
192,0.0009769085581374291,0.328172,89.4531,88.6300,0.425861
193,0.0009768721389349815,0.319739,90.2344,88.6300,0.425861
194,0.000976835531472545,0.331957,92.1875,88.6300,0.425861
195,0.0009767987357645713,0.380465,86.3281,88.6300,0.425861
196,0.0009767617518255868,0.365343,87.5000,88.6300,0.425861
197,0.0009767245796701923,0.318909,91.4062,88.6300,0.425861
198,0.0009766872193130629,0.295824,91.7969,88.6300,0.425861
199,0.0009766496707689476,0.415819,89.0625,91.9600,0.265665
200,0.00097661193405267,0.527054,84.7656,91.9600,0.265665
201,0.000976574009179128,0.446962,87.8906,91.9600,0.265665
202,0.0009765358961632939,0.426386,87.1094,91.9600,0.265665
203,0.0009764975950202141,0.311980,90.2344,91.9600,0.265665
204,0.0009764591057650091,0.301540,92.5781,91.9600,0.265665
205,0.0009764204284128741,0.404002,86.7188,91.9600,0.265665
206,0.0009763815629790779,0.372486,89.4531,91.9600,0.265665
207,0.0009763425094789643,0.433629,89.0625,91.9600,0.265665
208,0.0009763032679279507,0.333214,90.6250,91.9600,0.265665
209,0.0009762638383415296,0.277441,89.4531,91.9600,0.265665
210,0.0009762242207352667,0.457705,84.7656,91.9600,0.265665
211,0.0009761844151248024,0.327643,90.2344,91.9600,0.265665
212,0.0009761444215258516,0.302699,88.6719,91.9600,0.265665
213,0.000976104239954203,0.379249,86.7188,91.9600,0.265665
214,0.0009760638704257196,0.309743,91.4062,91.9600,0.265665
215,0.0009760233129563386,0.292549,91.7969,91.9600,0.265665
216,0.0009759825675620716,0.429026,88.6719,91.9600,0.265665
217,0.0009759416342590042,0.271343,92.1875,91.9600,0.265665
218,0.0009759005130632962,0.317380,89.4531,91.9600,0.265665
219,0.0009758592039911815,0.298505,89.0625,91.9600,0.265665
220,0.0009758177070589684,0.354604,89.8438,91.9600,0.265665
221,0.0009757760222830393,0.423496,87.1094,91.9600,0.265665
222,0.0009757341496798505,0.425477,86.7188,91.9600,0.265665
223,0.0009756920892659327,0.298408,91.7969,91.9600,0.265665
224,0.0009756498410578907,0.353007,90.6250,91.9600,0.265665
225,0.0009756074050724033,0.284638,91.0156,91.9600,0.265665
226,0.0009755647813262238,0.318122,91.0156,91.9600,0.265665
227,0.0009755219698361794,0.409442,89.4531,91.9600,0.265665
228,0.0009754789706191711,0.415477,87.1094,91.9600,0.265665
229,0.0009754357836921745,0.303324,90.2344,91.9600,0.265665
230,0.000975392409072239,0.375930,89.4531,91.9600,0.265665
231,0.0009753488467764886,0.333826,89.0625,91.9600,0.265665
232,0.0009753050968221204,0.290023,89.0625,91.9600,0.265665
233,0.0009752611592264065,0.323556,89.8438,91.9600,0.265665
234,0.0009752170340066929,0.360163,92.1875,91.9600,0.265665
235,0.0009751727211803993,0.420516,87.5000,91.9600,0.265665
236,0.0009751282207650199,0.351073,91.4062,91.9600,0.265665
237,0.0009750835327781227,0.339191,87.8906,91.9600,0.265665
238,0.0009750386572373495,0.449073,85.5469,91.9600,0.265665
239,0.0009749935941604169,0.297147,92.1875,91.9600,0.265665
240,0.0009749483435651148,0.286940,91.0156,91.9600,0.265665
241,0.0009749029054693078,0.256633,93.7500,91.9600,0.265665
242,0.0009748572798909337,0.328386,91.4062,91.9600,0.265665
243,0.0009748114668480048,0.277584,91.0156,91.9600,0.265665
244,0.0009747654663586076,0.236267,91.4062,91.9600,0.265665
245,0.0009747192784409024,0.513181,85.9375,91.9600,0.265665
246,0.000974672903113123,0.377953,87.5000,91.9600,0.265665
247,0.0009746263403935782,0.266645,91.7969,91.9600,0.265665
248,0.0009745795903006499,0.307714,91.0156,91.9600,0.265665
249,0.0009745326528527944,0.343149,89.4531,91.9600,0.265665
250,0.0009744855280685418,0.311561,88.6719,91.9600,0.265665
251,0.0009744382159664962,0.307691,90.6250,91.9600,0.265665
252,0.0009743907165653358,0.311577,90.6250,91.9600,0.265665
253,0.0009743430298838125,0.336807,89.4531,91.9600,0.265665
254,0.0009742951559407524,0.404056,85.9375,91.9600,0.265665
255,0.0009742470947550551,0.344049,89.8438,91.9600,0.265665
256,0.0009741988463456947,0.308023,88.6719,91.9600,0.265665
257,0.0009741504107317186,0.229214,93.7500,91.9600,0.265665
258,0.0009741017879322486,0.263801,91.7969,91.9600,0.265665
259,0.0009740529779664804,0.384382,87.1094,91.9600,0.265665
260,0.0009740039808536829,0.406741,86.3281,91.9600,0.265665
261,0.0009739547966131998,0.346051,87.5000,91.9600,0.265665
262,0.0009739054252644481,0.391050,89.0625,91.9600,0.265665
263,0.0009738558668269191,0.312443,92.9688,91.9600,0.265665
264,0.0009738061213201771,0.394566,87.5000,91.9600,0.265665
265,0.0009737561887638614,0.291447,91.4062,91.9600,0.265665
266,0.0009737060691776842,0.288509,91.4062,91.9600,0.265665
267,0.0009736557625814322,0.360118,88.6719,91.9600,0.265665
268,0.0009736052689949654,0.419362,87.1094,91.9600,0.265665
269,0.000973554588438218,0.263078,91.0156,91.9600,0.265665
270,0.000973503720931198,0.327654,89.0625,91.9600,0.265665
271,0.0009734526664939869,0.375747,89.8438,91.9600,0.265665
272,0.0009734014251467403,0.366025,89.4531,91.9600,0.265665
273,0.0009733499969096874,0.398947,87.1094,91.9600,0.265665
274,0.0009732983818031314,0.318498,88.6719,91.9600,0.265665
275,0.0009732465798474487,0.317218,90.2344,91.9600,0.265665
